id_estacion,lat,lon
317,-34.5797368,-58.4578146
206,-34.58495,-58.437339
154,-34.6005484,-58.4122849
32,-34.60674458045258,-58.37365550287733
328,-34.598549,-58.397354
46,-34.6163729,-58.37436969999998
72,-34.6135421,-58.3746635
9,-34.585443,-58.407741
155,-34.645082199430064,-58.41749173359584
31,-34.6033431,-58.439521
337,-34.5967435,-58.4594031
138,-34.6353595,-58.3876724
195,-34.6260785,-58.407389
98,-34.6081643,-58.3779002
101,-34.5891857,-58.4424397
341,-34.6142336,-58.4813858
215,-34.585878,-58.42499599999999
107,-34.63037718,-58.39584399999999
175,-34.626851,-58.380707
174,-34.597225,-58.39176799999999
432,-34.619879,-58.435801
359,-34.555602,-58.45047900000001
303,-34.5577145,-58.4626871
28,-34.6231273,-58.4127377
293,-34.6264943,-58.4324405
351,-34.5717033,-58.4520772
356,-34.547695,-58.4584684
312,-34.629028,-58.4769111
250,-34.6526797,-58.377215
307,-34.6499971,-58.42477299999999
227,-34.61036075,-58.43276297
187,-34.552571,-58.45089699999999
343,-34.6357272,-58.4411639
345,-34.5947762,-58.4750615
201,-34.6034449,-58.378167
265,-34.64196,-58.4505
275,-34.562277,-58.459289
385,-34.606159914753725,-58.49314134520765
294,-34.5471313,-58.4524657
426,-34.5557,-58.4579
128,-34.60515159,-58.36882117
407,-34.6424248,-58.478266
412,-34.6604476,-58.432016800000014
339,-34.61938,-58.45471
419,-34.5476039,-58.4565662
391,-34.5508944,-58.4719176
435,-34.544503,-58.459499
252,-34.647121,-58.374336
278,-34.564122,-58.46981300000001
104,-34.587617,-58.45521200000001
6,-34.628526,-58.369758
116,-34.59147195496799,-58.40128182310524
25,-34.5894269,-58.4161178
182,-34.5780479,-58.435246600000006
14,-34.577424,-58.426387
156,-34.5775895,-58.407469600000006
96,-34.6027814,-58.4116586
389,-34.62795,-58.44024
83,-34.603269,-58.3893728
308,-34.567633,-58.436752000000006
141,-34.6115231,-58.3904968
86,-34.6212681,-58.4016808
242,-34.57694914795284,-58.40398420287857
158,-34.592735,-58.4450697
416,-34.553262,-58.469133
229,-34.581576,-58.451530000000005
448,-34.58209,-58.3788
216,-34.589968,-58.411493
54,-34.5982097,-58.422069400000005
196,-34.6277671,-58.36602490000001
95,-34.6021121,-58.3781678
406,-34.6009283,-58.3642613
55,-34.5994122,-58.36966404
319,-34.6036,-58.4036
417,-34.57634,-58.502480000000006
433,-34.637697,-58.373726000000005
401,-34.6347604,-58.47947
327,-34.677130515662185,-58.454286054001386
153,-34.6310284,-58.36288800000001
77,-34.581135,-58.501487
91,-34.6174482,-58.397602
188,-34.62393,-58.39124999999999
212,-34.600275,-58.434875
274,-34.5563511,-58.4630428
194,-34.6060758,-58.42246349999999
236,-34.562161,-58.455166000000006
239,-34.56533652,-58.42062076
43,-34.584018,-58.38992100000001
179,-34.6384786,-58.3642885
392,-34.554581,-58.485381
348,-34.610482,-58.474369
297,-34.640978,-58.466118
336,-34.5997308,-58.5111458
231,-34.60511787,-58.445999589
263,-34.622003,-58.457555
132,-34.6033685,-58.372763
210,-34.572165,-58.411278
329,-34.59310953590707,-58.43506630059434
396,-34.601852,-58.448011
35,-34.5964246,-58.371847
325,-34.6501,-58.41626
122,-34.5915614,-58.41981629999999
148,-34.6451767192088,-58.484555279762255
127,-34.5923884,-58.453077
59,-34.617654,-58.380565
29,-34.6079414,-58.4335573
222,-34.5759189160704,-58.41854288458634
436,-34.57653,-58.44348999999999
249,-34.6506468,-58.3872342
251,-34.641728,-58.402483
254,-34.62079441851816,-58.4413509067459
399,-34.6340414,-58.446273
378,-34.623123,-58.468287
405,-34.5767497,-58.4689771
202,-34.583749,-58.390602
277,-34.563539,-58.436115
260,-34.5530794109,-58.43522348866
185,-34.63133,-58.42177
177,-34.568165,-58.412121
119,-34.5885608,-58.3973293
430,-34.5520678,-58.4267679
395,-34.596849288941584,-58.45327985794868
137,-34.6155977,-58.3674923
23,-34.600139,-58.379836000000005
13,-34.61009,-58.406
318,-34.603936,-58.457317
17,-34.6064101,-58.4187306
225,-34.5968511,-58.4295184
102,-34.5851209,-58.4492989
425,-34.643012510740405,-58.42284285277861
164,-34.617301,-58.3698984
42,-34.6046074,-58.3800307
292,-34.634796,-58.378109
183,-34.6156994,-58.3899728
223,-34.6234,-58.424853
45,-34.6018635,-58.38669339999999
397,-34.5979984,-58.4856262
282,-34.5699743,-58.4562794
370,-34.590964,-58.500336
298,-34.634443,-58.463437
270,-34.640114,-58.43026
314,-34.61047,-58.4602399
309,-34.62141207128675,-58.51978098730659
374,-34.6471,-58.46979999999999
414,-34.6112804,-58.45004339999999
272,-34.5883744,-58.4668651
110,-34.601738,-58.415434
204,-34.614948,-58.42781800000001
189,-34.5886889,-58.3852113
152,-34.6181645,-58.3596311
320,-34.584063,-58.440137
220,-34.635128,-58.42757300000001
255,-34.622092,-58.448547000000005
267,-34.5976121,-58.4985424
230,-34.5678255,-58.4645037
259,-34.5591522,-58.4441762
408,-34.56912,-58.50025
381,-34.6162466,-58.4658836
166,-34.588346663239754,-58.39414794286564
240,-34.558137,-58.4672593
354,-34.613457,-58.4401581
93,-34.620798,-58.3944635
131,-34.5984043,-58.39901580000001
441,-34.609801,-58.3748
144,-34.6018744,-58.4060944
221,-34.6280441,-58.4274042
233,-34.5539765,-58.4360367
352,-34.5807104,-58.4248291
276,-34.559476,-58.4699652
418,-34.5809383,-58.44458039999999
301,-34.66036165776025,-58.467638689384906
415,-34.6203961,-58.4637146
246,-34.554326,-58.4389256
214,-34.590541,-58.428974
241,-34.600874,-58.494123
388,-34.580927,-58.48455
393,-34.5902732694463,-58.4669322018588
213,-34.599659,-58.442685
423,-34.559255,-58.487772
431,-34.542628,-58.43691299999999
87,-34.619845,-58.4314942
50,-34.5837348,-58.4010798
186,-34.6136356,-58.4064415
372,-34.636406,-58.470136
170,-34.5996644,-58.4061023
258,-34.565521,-58.45533400000001
146,-34.6221118,-58.40784190000001
207,-34.65237685302847,-58.48735935690687
173,-34.6222964,-58.3751607
190,-34.5850763,-58.4111136
118,-34.6170196,-58.4026531
347,-34.5834356,-58.4065391
364,-34.570161,-58.43558
245,-34.552594,-58.4429397
434,-34.54569,-58.465140000000005
238,-34.6365814,-58.4367011
288,-34.6404886,-58.4429517
53,-34.5952579,-58.3743514
371,-34.6317,-58.45534000000001
394,-34.6455992,-58.3684969
363,-34.6439,-58.46311399999999
326,-34.5420905,-58.4705699
84,-34.6042288,-58.3937375
253,-34.6163544,-58.4170737
62,-34.5985102,-58.3768501
22,-34.5938629,-58.3825498
200,-34.5882997,-58.40426080000001
58,-34.5752773,-58.434688300000005
63,-34.59977772506695,-58.37468663054962
442,-34.5554843,-58.4768041
112,-34.612075,-58.38038400000001
247,-34.5838957,-58.466494
74,-34.60439,-58.43454
191,-34.6079305,-58.3808358
355,-34.567483,-58.446381
323,-34.565409,-58.459298
299,-34.631705,-58.466143
78,-34.5910737,-58.3799953
114,-34.59398891976011,-58.37142444536896
350,-34.5657087,-58.4952184
11,-34.6011762,-58.3850791
60,-34.6016509,-58.37107900000001
85,-34.5948057,-58.4091784
68,-34.552148,-58.480464
7,-34.606498,-58.381098
224,-34.5808537,-58.434484
313,-34.565003,-58.4449536
390,-34.547758,-58.459881
56,-34.588567,-58.42599899999999
340,-34.54754,-58.46784399999999
411,-34.6385808,-58.4769856
49,-34.629176084274704,-58.42481977731553
199,-34.6222601,-58.41601370000001
257,-34.570825,-58.48123600000001
304,-34.5893,-58.48480000000001
335,-34.615945,-58.47098
402,-34.5976121,-58.4985424
75,-34.6122976,-58.3989871
168,-34.6186217,-58.3812271
310,-34.67948324169569,-58.47424852254684
219,-34.6360274,-58.4156332
218,-34.638523,-58.425464
273,-34.616758,-58.446751
324,-34.578933,-58.4840556
302,-34.6518464,-58.41577099999999
20,-34.5809751,-58.4443269
375,-34.604597356692906,-58.484812116143225
271,-34.629967,-58.473725
232,-34.5599779,-58.4790578
143,-34.604709,-58.415807
291,-34.617247,-58.381627
387,-34.602028,-58.465568000000005
115,-34.5878001,-58.3908362
117,-34.61955283137281,-58.37315930476108
279,-34.607516,-58.404758
398,-34.5761817,-58.4546508
362,-34.56603251575768,-58.479879186508185
134,-34.683188,-58.468952
105,-34.6340844,-58.4008662
176,-34.555254,-58.494845000000005
256,-34.610398,-58.454304
234,-34.54723249654352,-58.4468016411338
383,-34.5717986,-58.48954089999999
382,-34.60543081369964,-58.47725521899702
330,-34.6008306,-58.47212710000001
342,-34.616813,-58.484297
244,-34.5874735,-58.4842469
311,-34.5972098,-58.47421142999999
80,-34.6245807,-58.43412319999999
424,-34.639807,-58.39905000000001
184,-34.6306129,-58.3913419
386,-34.5654,-58.4759
421,-34.5419013,-58.4438699
367,-34.616659000738366,-58.47770598650817
52,-34.6068725,-58.4148939
420,-34.5446,-58.43959999999999
