id_estacion,lat,lon,barrio,barrio
502,-34.5406752,-58.4752251,SAAVEDRA,SAAVEDRA
114,-34.59398891976011,-58.37142444536896,RETIRO,RETIRO
261,-34.616151,-58.440584,CABALLITO,CABALLITO
516,-34.5709984,-58.423346900000006,PALERMO,PALERMO
499,-34.62855635090828,-58.4468139680066,CABALLITO,CABALLITO
230,-34.5678255,-58.4645037,BELGRANO,BELGRANO
77,-34.581135,-58.501487,VILLA PUEYRREDON,VILLA PUEYRREDON
370,-34.590964,-58.500336,VILLA PUEYRREDON,VILLA PUEYRREDON
231,-34.60511787,-58.445999589,VILLA CRESPO,VILLA CRESPO
229,-34.581576,-58.451530000000005,CHACARITA,CHACARITA
426,-34.5557,-58.4579,BELGRANO,BELGRANO
186,-34.6136356,-58.4064415,BALVANERA,BALVANERA
23,-34.600139,-58.379836000000005,SAN NICOLAS,SAN NICOLAS
102,-34.5851209,-58.4492989,CHACARITA,CHACARITA
417,-34.57634,-58.502480000000006,VILLA PUEYRREDON,VILLA PUEYRREDON
94,-34.591511,-58.44965199999999,CHACARITA,CHACARITA
14,-34.577424,-58.426387,PALERMO,PALERMO
93,-34.620798,-58.3944635,SAN CRISTOBAL,SAN CRISTOBAL
107,-34.63037718,-58.39584399999999,PARQUE PATRICIOS,PARQUE PATRICIOS
71,-34.6026673,-58.383355900000005,SAN NICOLAS,SAN NICOLAS
281,-34.613778,-58.458315,CABALLITO,CABALLITO
187,-34.552571,-58.45089699999999,BELGRANO,BELGRANO
268,-34.5503,-58.477,SAAVEDRA,SAAVEDRA
189,-34.5886889,-58.3852113,RECOLETA,RECOLETA
448,-34.58209,-58.3788,RETIRO,RETIRO
131,-34.5984043,-58.39901580000001,RECOLETA,RECOLETA
440,-34.5906475,-58.42889899999998,PALERMO,PALERMO
96,-34.6027814,-58.4116586,BALVANERA,BALVANERA
227,-34.61036075,-58.43276297,CABALLITO,CABALLITO
210,-34.572165,-58.411278,PALERMO,PALERMO
536,-34.5954737,-58.37748229999999,RETIRO,RETIRO
494,-34.6147875,-58.5116722,VILLA DEVOTO,VILLA DEVOTO
407,-34.6424248,-58.478266,PARQUE AVELLANEDA,PARQUE AVELLANEDA
86,-34.6212681,-58.4016808,SAN CRISTOBAL,SAN CRISTOBAL
304,-34.5893,-58.48480000000001,AGRONOMIA,AGRONOMIA
48,-34.6236397,-58.3632448,PUERTO MADERO,PUERTO MADERO
301,-34.66036165776025,-58.467638689384906,VILLA LUGANO,VILLA LUGANO
316,-34.605567,-58.453475,VILLA CRESPO,VILLA CRESPO
